"filename", "language", "PHP", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\Arrays\Ejercicio7For.php", "PHP", 53, 0, 0, 0, 0, 2, 55
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\Arrays\Ejercicio7y8Sc.php", "PHP", 55, 0, 0, 0, 11, 5, 71
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\Arrays\Ejercicio9.php", "PHP", 100, 0, 0, 0, 14, 4, 118
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\Arrays\Ejercicio9JuegoSsSc_vGb.php", "PHP", 113, 0, 0, 0, 16, 3, 132
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\Bucles\EjemploFor.php", "PHP", 34, 0, 0, 0, 3, 3, 40
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\Bucles\EjemploNumAleatorioSession.php", "PHP", 40, 0, 0, 0, 2, 4, 46
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\Bucles\Ejercicio1Multiplos.php", "PHP", 32, 0, 0, 0, 4, 0, 36
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\Bucles\Ejercicio2SumaAcumulativa.php", "PHP", 33, 0, 0, 0, 4, 0, 37
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\Bucles\Ejercicio3Potencia.php", "PHP", 32, 0, 0, 0, 4, 0, 36
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\Bucles\Ejercicio4.php", "PHP", 41, 0, 0, 0, 4, 2, 47
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\Bucles\Ejercicio4_1Ss.php", "PHP", 54, 0, 0, 0, 16, 9, 79
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\Bucles\Ejercicio5.php", "PHP", 53, 0, 0, 0, 10, 4, 67
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\CRUDSimple\createBD.php", "PHP", 13, 0, 0, 0, 24, 3, 40
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\CRUDSimple\crud.php", "PHP", 7, 0, 0, 0, 162, 0, 169
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\CRUDSimple\crudIA_Optimizado.php", "PHP", 4, 0, 0, 0, 142, 1, 147
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\CRUDSimple\crudIA_v1.php", "PHP", 2, 0, 0, 0, 63, 1, 66
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\CRUDSimple\crud_v2.php", "PHP", 90, 0, 0, 0, 19, 15, 124
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\CRUDSimple\index.html", "HTML", 0, 48, 0, 0, 2, 10, 60
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\CRUDSimple\styles.css", "CSS", 0, 0, 63, 0, 6, 7, 76
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\CRUD_PHP\1_Create\create.html", "HTML", 0, 44, 0, 0, 0, 3, 47
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\CRUD_PHP\1_Create\create.php", "PHP", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\CRUD_PHP\2_Read\read.html", "HTML", 0, 37, 0, 0, 0, 0, 37
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\CRUD_PHP\2_Read\read.php", "PHP", 0, 0, 0, 0, 0, 1, 1
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\CRUD_PHP\3_Update\update.html", "HTML", 0, 30, 0, 0, 0, 1, 31
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\CRUD_PHP\4_Delete\delete.html", "HTML", 0, 30, 0, 0, 0, 1, 31
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\CRUD_PHP\5_Search\search.html", "HTML", 0, 30, 0, 0, 0, 1, 31
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\CRUD_PHP\6_CRUD\assets\css\normalizer.css", "CSS", 0, 0, 145, 0, 130, 74, 349
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\CRUD_PHP\6_CRUD\assets\css\paleta-de-colores.css", "CSS", 0, 0, 151, 0, 19, 28, 198
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\CRUD_PHP\6_CRUD\assets\css\stylePersonal.css", "CSS", 0, 0, 129, 0, 0, 11, 140
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\CRUD_PHP\6_CRUD\assets\css\styleTemplates.css", "CSS", 0, 0, 145, 0, 18, 3, 166
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\CRUD_PHP\6_CRUD\assets\js\registroAutos.js", "JavaScript", 0, 0, 0, 127, 10, 19, 156
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\CRUD_PHP\6_CRUD\index.html", "HTML", 0, 76, 0, 0, 11, 8, 95
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\CRUD_PHP\8_Login\login.html", "HTML", 0, 30, 0, 0, 0, 1, 31
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\CRUD_PHP\9_Registro\registro.html", "HTML", 0, 30, 0, 0, 0, 1, 31
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\CRUD_PHP\CRUD_SinBD\CRUD_enArchivo.php", "PHP", 172, 0, 0, 0, 18, 23, 213
"c:\Users\Ramon\Ramon Dropbox\Ramon Perez\PC\Desktop\curso_udemy_JS\04PHP_Curso_DAW\PHP\CRUD_PHP\CRUD_usandoMySQL\BD.php", "PHP", 6, 0, 0, 0, 0, 3, 9
